Ep: 438 | --- | ep_r: -192.4 | steps: 49
Ep: 439 | --- | ep_r: -22.7 | steps: 49
Ep: 440 | --- | ep_r: -78.9 | steps: 49
Ep: 441 | --- | ep_r: -188.0 | steps: 49
Ep: 442 | --- | ep_r: -140.0 | steps: 49
Ep: 443 | --- | ep_r: -79.5 | steps: 49
Ep: 444 | --- | ep_r: -141.6 | steps: 49
Ep: 445 | --- | ep_r: -39.9 | steps: 49
Ep: 446 | --- | ep_r: -82.8 | steps: 49
Ep: 447 | --- | ep_r: 50.6 | steps: 49
Ep: 448 | --- | ep_r: -125.6 | steps: 49
Ep: 449 | --- | ep_r: -183.4 | steps: 49
Ep: 450 | --- | ep_r: -29.1 | steps: 49
Ep: 451 | --- | ep_r: -191.8 | steps: 49
Ep: 452 | --- | ep_r: 19.3 | steps: 49
Ep: 453 | --- | ep_r: -144.6 | steps: 49
Ep: 454 | --- | ep_r: -87.9 | steps: 49
Ep: 455 | --- | ep_r: -31.1 | steps: 49
Ep: 456 | --- | ep_r: 29.5 | steps: 49
Ep: 457 | --- | ep_r: -20.2 | steps: 49
Ep: 458 | --- | ep_r: -99.0 | steps: 49
Ep: 459 | --- | ep_r: -220.1 | steps: 49
Ep: 460 | --- | ep_r: -102.2 | steps: 49
Ep: 461 | --- | ep_r: -162.5 | steps: 49
Ep: 462 | --- | ep_r: -39.6 | steps: 49
Ep: 463 | --- | ep_r: -216.3 | steps: 49
Ep: 464 | --- | ep_r: -33.5 | steps: 49
Ep: 465 | --- | ep_r: -161.8 | steps: 49
Ep: 466 | --- | ep_r: -67.3 | steps: 49
Ep: 467 | --- | ep_r: -93.2 | steps: 49
Ep: 468 | --- | ep_r: -106.6 | steps: 49
Ep: 469 | --- | ep_r: -172.5 | steps: 49
Ep: 470 | --- | ep_r: -131.6 | steps: 49
Ep: 471 | --- | ep_r: 53.1 | steps: 49
Ep: 472 | --- | ep_r: -134.3 | steps: 49
Ep: 473 | --- | ep_r: -196.5 | steps: 49
Ep: 474 | --- | ep_r: 45.0 | steps: 49
Ep: 475 | --- | ep_r: -65.7 | steps: 49
Ep: 476 | --- | ep_r: -17.3 | steps: 49
Ep: 477 | --- | ep_r: -158.8 | steps: 49
Ep: 478 | --- | ep_r: -201.7 | steps: 49
Ep: 479 | --- | ep_r: -234.6 | steps: 49
Ep: 480 | --- | ep_r: -135.1 | steps: 49
Ep: 481 | --- | ep_r: 63.0 | steps: 49
Ep: 482 | --- | ep_r: -184.8 | steps: 49
Ep: 483 | --- | ep_r: 56.6 | steps: 49
Ep: 484 | --- | ep_r: -151.7 | steps: 49
Ep: 485 | --- | ep_r: -153.1 | steps: 49
Ep: 486 | --- | ep_r: -159.2 | steps: 49
Ep: 487 | --- | ep_r: -174.9 | steps: 49
Ep: 488 | --- | ep_r: -169.0 | steps: 49
Ep: 489 | --- | ep_r: 32.7 | steps: 49
Ep: 490 | --- | ep_r: 59.0 | steps: 49
Ep: 491 | --- | ep_r: -259.9 | steps: 49
Ep: 492 | --- | ep_r: -138.7 | steps: 49
Ep: 493 | --- | ep_r: -58.4 | steps: 49
Ep: 494 | --- | ep_r: -53.9 | steps: 49
Ep: 495 | --- | ep_r: -214.8 | steps: 49
Ep: 496 | --- | ep_r: -45.9 | steps: 49
Ep: 497 | --- | ep_r: -132.0 | steps: 49
Ep: 498 | --- | ep_r: -154.8 | steps: 49
